Sqft,Floor,Bedroom,Living.Room,Bathroom,Price
857.478,6.0,4.0,2.0,2.0,52000.0
2227.308,2.0,4.0,2.0,2.0,99999.0
2088.546,8.0,3.0,2.0,2.0,65000.0
1423.2,7.0,3.0,2.0,2.0,92000.0
1569.078,6.0,3.0,2.0,2.0,55000.0
3202.2,5.0,4.0,2.0,2.0,149999.0
711.6,6.0,2.0,1.0,1.0,35000.0
391.38,13.0,1.0,1.0,1.0,22000.0
960.66,2.0,2.0,2.0,2.0,33000.0
878.826,10.0,2.0,1.0,1.0,48000.0
1280.88,10.0,3.0,2.0,2.0,53000.0
2134.8,3.0,3.0,2.0,2.0,68000.0
2149.032,5.0,4.0,2.0,2.0,80000.0
2543.97,9.0,3.0,2.0,2.0,120000.0
1206.162,7.0,2.0,2.0,1.0,57000.0
1280.88,7.0,2.0,1.0,1.0,57000.0
2067.198,4.0,4.0,2.0,2.0,100000.0
1184.814,6.0,3.0,2.0,2.0,38000.0
732.948,8.0,2.0,1.0,1.0,27000.0
1529.94,6.0,3.0,2.0,2.0,75000.0
1572.636,2.0,4.0,2.0,2.0,55000.0
2540.412,18.0,4.0,2.0,2.0,89000.0
1135.002,7.0,3.0,2.0,1.0,40000.0
1544.172,5.0,3.0,2.0,2.0,99999.0
1921.32,4.0,4.0,2.0,2.0,48000.0
772.086,6.0,2.0,1.0,1.0,39000.0
1754.094,3.0,3.0,2.0,2.0,75000.0
2558.202,2.0,3.0,2.0,2.0,80000.0
1195.488,10.0,3.0,2.0,2.0,86888.0
3323.172,19.0,5.0,3.0,4.0,140000.0
1223.952,6.0,4.0,2.0,2.0,58888.0
1184.814,7.0,2.0,2.0,1.0,57000.0
1223.952,3.0,3.0,2.0,2.0,41888.0
1245.3,5.0,4.0,2.0,2.0,39000.0
533.7,10.0,2.0,1.0,1.0,29999.0
2028.06,6.0,4.0,2.0,2.0,88000.0
4981.2,3.0,3.0,2.0,3.0,225000.0
1245.3,6.0,3.0,2.0,2.0,40999.0
1707.84,3.0,3.0,2.0,2.0,55000.0
1779.0,10.0,4.0,2.0,2.0,97999.0
1956.9,6.0,4.0,2.0,2.0,77000.0
1779.0,2.0,4.0,2.0,2.0,57000.0
889.5,10.0,2.0,1.0,1.0,52000.0
996.24,11.0,3.0,2.0,2.0,44999.0
1067.4,4.0,3.0,2.0,1.0,32000.0
900.174,10.0,1.0,2.0,1.0,50000.0
1704.282,3.0,3.0,2.0,2.0,59888.0
1284.438,6.0,3.0,2.0,2.0,41000.0
1565.52,2.0,3.0,2.0,1.0,45000.0
1487.244,1.0,3.0,2.0,3.0,68000.0
572.838,14.0,1.0,1.0,1.0,43000.0
683.136,4.0,2.0,2.0,1.0,28000.0
4091.7,2.0,3.0,2.0,4.0,180000.0
1124.328,3.0,3.0,2.0,2.0,45000.0
1789.674,10.0,4.0,2.0,2.0,88000.0
1889.298,2.0,4.0,2.0,2.0,100000.0
2205.96,4.0,3.0,2.0,2.0,100000.0
1601.1,5.0,2.0,2.0,2.0,48000.0
1085.19,12.0,2.0,2.0,1.0,35000.0
1921.32,4.0,4.0,2.0,2.0,48000.0
1707.84,9.0,3.0,2.0,2.0,80000.0
2120.568,5.0,3.0,2.0,2.0,98000.0
2782.356,12.0,3.0,2.0,3.0,120000.0
914.406,2.0,2.0,2.0,1.0,37000.0
1850.16,16.0,4.0,2.0,3.0,82000.0
1889.298,2.0,4.0,2.0,2.0,100000.0
1245.3,2.0,3.0,2.0,2.0,35000.0
1494.36,2.0,2.0,2.0,2.0,49800.0
1487.244,6.0,4.0,2.0,2.0,33700.0
1690.05,7.0,3.0,2.0,2.0,40000.0
796.992,3.0,2.0,2.0,2.0,45000.0
3255.57,4.0,4.0,2.0,5.0,130000.0
1063.842,3.0,2.0,1.0,1.0,45000.0
1263.09,5.0,2.0,1.0,2.0,37000.0
1352.04,5.0,3.0,2.0,2.0,36000.0
1287.996,4.0,4.0,2.0,2.0,30000.0
1167.024,3.0,3.0,2.0,2.0,42000.0
1167.024,3.0,3.0,2.0,2.0,42000.0
1839.486,2.0,1.0,0.0,1.0,67000.0
796.992,3.0,2.0,2.0,1.0,45000.0
601.302,2.0,1.0,1.0,1.0,38000.0
2156.148,12.0,3.0,2.0,3.0,75000.0
2138.358,11.0,4.0,2.0,2.0,55000.0
1779.0,2.0,3.0,2.0,2.0,55000.0
1779.0,8.0,3.0,2.0,2.0,85000.0
1732.746,8.0,4.0,2.0,2.0,65000.0
526.584,13.0,2.0,1.0,1.0,29500.0
718.716,5.0,2.0,2.0,1.0,43000.0
1601.1,3.0,3.0,2.0,2.0,33500.0
1174.14,14.0,3.0,2.0,1.0,26000.0
1408.968,9.0,2.0,2.0,2.0,65999.0
1387.62,2.0,3.0,2.0,2.0,45000.0
604.86,3.0,1.0,1.0,1.0,23800.0
1380.504,6.0,3.0,2.0,2.0,49999.0
2134.8,2.0,1.0,2.0,2.0,58000.0
740.064,10.0,2.0,2.0,2.0,45000.0
1031.82,5.0,2.0,2.0,2.0,36000.0
1526.382,8.0,4.0,2.0,2.0,65000.0
1601.1,1.0,3.0,2.0,2.0,65000.0
1423.2,13.0,2.0,2.0,2.0,55000.0
384.264,2.0,1.0,1.0,1.0,35000.0
1996.038,5.0,3.0,2.0,2.0,75000.0
718.716,5.0,2.0,2.0,1.0,43000.0
1366.272,4.0,3.0,2.0,2.0,50000.0
1743.42,3.0,3.0,2.0,2.0,45000.0
1636.68,4.0,4.0,2.0,2.0,52000.0
1903.53,8.0,3.0,2.0,2.0,120000.0
668.904,5.0,2.0,1.0,1.0,28000.0
2430.114,12.0,4.0,2.0,2.0,110000.0
1298.67,7.0,2.0,2.0,1.0,57000.0
2138.358,11.0,4.0,2.0,2.0,55000.0
2963.814,2.0,4.0,2.0,2.0,95000.0
533.7,14.0,1.0,1.0,1.0,25000.0
2262.888,4.0,3.0,2.0,2.0,120000.0
590.628,8.0,1.0,2.0,1.0,45000.0
964.218,5.0,2.0,1.0,1.0,28000.0
796.992,3.0,2.0,2.0,2.0,45000.0
2408.766,6.0,4.0,2.0,3.0,80000.0
1700.724,13.0,2.0,2.0,2.0,55000.0
1672.26,3.0,3.0,2.0,2.0,75000.0
1469.454,6.0,2.0,2.0,2.0,75000.0
2067.198,4.0,4.0,2.0,2.0,100000.0
1754.094,3.0,3.0,2.0,2.0,75000.0
1757.652,4.0,4.0,2.0,2.0,55000.0
587.07,5.0,1.0,1.0,1.0,36000.0
1487.244,5.0,3.0,2.0,2.0,50000.0
1487.244,5.0,3.0,2.0,2.0,50000.0
789.876,7.0,1.0,1.0,1.0,42000.0
2006.712,3.0,4.0,2.0,2.0,68000.0
871.71,8.0,2.0,1.0,1.0,41999.0
1522.824,11.0,4.0,2.0,3.0,60000.0
3173.736,3.0,4.0,2.0,3.0,160000.0
1899.972,21.0,4.0,2.0,2.0,57000.0
2205.96,8.0,3.0,2.0,3.0,120000.0
1106.538,3.0,1.0,2.0,1.0,50000.0
2668.5,5.0,4.0,2.0,2.0,138888.0
882.384,10.0,1.0,1.0,1.0,48800.0
3255.57,4.0,4.0,2.0,5.0,120000.0
2138.358,6.0,3.0,2.0,2.0,43000.0
1579.752,4.0,3.0,1.0,2.0,99990.0
2768.124,8.0,3.0,2.0,2.0,60000.0
2081.43,10.0,2.0,2.0,2.0,68000.0
1700.724,13.0,2.0,2.0,2.0,55000.0
2134.8,6.0,3.0,2.0,2.0,43000.0
718.716,5.0,2.0,1.0,1.0,34800.0
754.296,5.0,2.0,1.0,1.0,80000.0
1387.62,2.0,3.0,2.0,2.0,45000.0
3558.0,1.0,2.0,2.0,2.0,63000.0
1515.708,2.0,2.0,2.0,2.0,49800.0
914.406,12.0,3.0,2.0,2.0,36000.0
711.6,8.0,1.0,1.0,1.0,36000.0
1487.244,2.0,2.0,2.0,2.0,48000.0
2138.358,6.0,3.0,2.0,2.0,43000.0
1127.886,4.0,3.0,2.0,2.0,26000.0
1135.002,2.0,3.0,2.0,1.0,37000.0
665.346,6.0,1.0,1.0,1.0,25000.0
925.08,2.0,2.0,2.0,1.0,36000.0
1209.72,3.0,3.0,2.0,2.0,38000.0
1337.808,8.0,3.0,2.0,2.0,60000.0
1366.272,4.0,4.0,2.0,2.0,49999.0
2052.966,6.0,4.0,2.0,2.0,77999.0
711.6,8.0,1.0,1.0,1.0,36000.0
533.7,7.0,1.0,1.0,1.0,17000.0
1138.56,4.0,3.0,2.0,2.0,26000.0
1458.78,4.0,3.0,2.0,2.0,36000.0
1245.3,5.0,2.0,2.0,2.0,37000.0
1814.58,6.0,4.0,2.0,2.0,90000.0
1515.708,4.0,2.0,2.0,2.0,88000.0
811.224,5.0,2.0,1.0,1.0,43500.0
359.358,12.0,1.0,1.0,1.0,26000.0
1882.182,6.0,3.0,2.0,2.0,55000.0
1419.642,6.0,4.0,2.0,2.0,50000.0
1394.736,12.0,2.0,2.0,1.0,45000.0
2063.64,3.0,4.0,2.0,3.0,88000.0
1661.586,10.0,1.0,1.0,1.0,50000.0
3504.63,13.0,2.0,2.0,2.0,250000.0
1871.508,8.0,3.0,2.0,2.0,88000.0
640.44,14.0,1.0,1.0,1.0,43000.0
2430.114,5.0,3.0,2.0,2.0,88000.0
1519.266,2.0,2.0,2.0,2.0,49800.0
761.412,8.0,1.0,1.0,1.0,26000.0
1903.53,8.0,2.0,2.0,2.0,120000.0
1163.466,3.0,3.0,2.0,2.0,45000.0
1779.0,4.0,4.0,2.0,2.0,51999.0
1579.752,10.0,4.0,1.0,1.0,65000.0
3145.272,2.0,4.0,2.0,2.0,98000.0
3148.83,2.0,4.0,2.0,2.0,98000.0
2700.522,15.0,5.0,2.0,4.0,100000.0
3664.74,9.0,5.0,1.0,2.0,206000.0
2134.8,2.0,3.0,2.0,2.0,68000.0
1700.724,13.0,2.0,2.0,2.0,55000.0
1380.504,6.0,3.0,2.0,2.0,49800.0
2052.966,5.0,4.0,2.0,2.0,77999.0
1871.508,11.0,4.0,2.0,2.0,49999.0
1430.316,2.0,4.0,2.0,2.0,44999.0
1579.752,4.0,3.0,1.0,2.0,99999.0
1672.26,4.0,3.0,2.0,2.0,58000.0
1270.206,3.0,2.0,2.0,1.0,42000.0
1245.3,3.0,1.0,2.0,1.0,35000.0
1458.78,4.0,2.0,1.0,2.0,65000.0
1707.84,1.0,2.0,2.0,2.0,37000.0
1515.708,2.0,2.0,2.0,2.0,48800.0
1408.968,3.0,4.0,2.0,2.0,39999.0
1476.57,6.0,3.0,2.0,2.0,49999.0
1700.724,13.0,2.0,2.0,2.0,55000.0
2590.224,7.0,4.0,3.0,3.0,77999.0
2408.766,4.0,4.0,2.0,2.0,74999.0
1779.0,10.0,3.0,2.0,2.0,90000.0
2099.22,4.0,3.0,2.0,2.0,63000.0
1206.162,7.0,2.0,2.0,1.0,59500.0
989.124,13.0,2.0,2.0,1.0,45000.0
3173.736,3.0,3.0,2.0,3.0,160000.0
2444.346,7.0,4.0,2.0,3.0,73000.0
722.274,11.0,2.0,1.0,1.0,36000.0
1707.84,3.0,3.0,2.0,2.0,65000.0
1444.548,6.0,2.0,2.0,1.0,53000.0
2892.654,19.0,5.0,3.0,4.0,170000.0
711.6,5.0,2.0,2.0,1.0,43000.0
1423.2,13.0,2.0,2.0,2.0,55000.0
1494.36,2.0,2.0,2.0,2.0,48800.0
2184.612,2.0,3.0,2.0,2.0,80000.0
601.302,2.0,1.0,1.0,1.0,35000.0
3558.0,1.0,3.0,2.0,2.0,160000.0
2102.778,6.0,3.0,2.0,2.0,70000.0
1138.56,3.0,3.0,2.0,2.0,40000.0
1579.752,3.0,5.0,1.0,1.0,56000.0
1135.002,7.0,3.0,2.0,1.0,40000.0
640.44,2.0,2.0,1.0,1.0,38000.0
1515.708,2.0,3.0,2.0,2.0,68000.0
747.18,9.0,2.0,2.0,1.0,60000.0
754.296,5.0,2.0,2.0,1.0,32000.0
2134.8,11.0,2.0,2.0,2.0,58000.0
1490.802,3.0,2.0,1.0,2.0,59888.0
1231.068,2.0,3.0,2.0,2.0,38888.0
370.032,4.0,1.0,1.0,1.0,24888.0
772.086,6.0,2.0,2.0,1.0,39000.0
1622.448,1.0,3.0,2.0,2.0,130000.0
925.08,2.0,2.0,1.0,1.0,31999.0
818.34,5.0,1.0,2.0,1.0,42000.0
1384.062,6.0,3.0,2.0,2.0,49800.0
540.816,5.0,1.0,1.0,1.0,29500.0
2561.76,10.0,4.0,2.0,3.0,100000.0
1992.48,5.0,4.0,2.0,3.0,55000.0
1031.82,11.0,3.0,2.0,2.0,61000.0
2063.64,2.0,3.0,2.0,3.0,85000.0
2312.7,7.0,5.0,2.0,3.0,55000.0
2383.86,2.0,3.0,2.0,2.0,70000.0
2134.8,5.0,4.0,2.0,2.0,78000.0
2134.8,3.0,4.0,2.0,3.0,98000.0
1423.2,3.0,3.0,2.0,2.0,50000.0
1739.862,1.0,3.0,1.0,1.0,65000.0
1191.93,3.0,3.0,2.0,2.0,55000.0
711.6,6.0,1.0,1.0,1.0,39000.0
658.23,4.0,1.0,1.0,1.0,22000.0
537.258,22.0,1.0,0.0,1.0,19000.0
1515.708,4.0,2.0,2.0,2.0,88000.0
1732.746,8.0,4.0,2.0,2.0,65000.0
640.44,8.0,1.0,2.0,1.0,45000.0
925.08,2.0,2.0,1.0,1.0,31800.0
718.716,5.0,2.0,2.0,1.0,34800.0
426.96,9.0,1.0,0.0,1.0,13000.0
658.23,9.0,2.0,2.0,1.0,46000.0
1501.476,4.0,4.0,2.0,2.0,52000.0
1771.884,4.0,4.0,2.0,2.0,57000.0
1167.024,2.0,3.0,2.0,2.0,38000.0
1252.416,8.0,3.0,2.0,2.0,40000.0
1697.166,3.0,4.0,2.0,2.0,75000.0
1167.024,2.0,3.0,2.0,2.0,43000.0
2184.612,4.0,3.0,2.0,2.0,63000.0
2170.38,9.0,4.0,2.0,2.0,110000.0
1857.276,2.0,4.0,2.0,2.0,65000.0
1996.038,5.0,3.0,2.0,2.0,70000.0
1359.156,7.0,3.0,2.0,2.0,45000.0
1586.868,3.0,3.0,2.0,2.0,44000.0
2312.7,7.0,4.0,2.0,2.0,70000.0
2227.308,2.0,5.0,2.0,2.0,100000.0
893.058,8.0,2.0,2.0,1.0,38000.0
1440.99,6.0,2.0,2.0,1.0,55000.0
1263.09,5.0,2.0,2.0,2.0,37000.0
1099.422,2.0,4.0,2.0,2.0,58500.0
3255.57,4.0,4.0,2.0,5.0,120000.0
1540.614,6.0,4.0,2.0,2.0,69000.0
1366.272,10.0,3.0,2.0,2.0,41000.0
1152.792,10.0,2.0,2.0,2.0,45000.0
1544.172,10.0,4.0,2.0,2.0,98000.0
1910.646,6.0,4.0,2.0,2.0,75000.0
718.716,5.0,2.0,2.0,1.0,35000.0
1487.244,6.0,3.0,2.0,2.0,33700.0
1312.902,4.0,3.0,2.0,2.0,41000.0
1255.974,4.0,3.0,2.0,2.0,40000.0
2255.772,2.0,3.0,2.0,2.0,80000.0
2052.966,5.0,4.0,2.0,2.0,78000.0
1188.372,2.0,3.0,2.0,2.0,36000.0
604.86,5.0,2.0,0.0,1.0,11900.0
889.5,3.0,2.0,2.0,1.0,29800.0
1067.4,1.0,3.0,2.0,2.0,35000.0
1138.56,6.0,2.0,1.0,2.0,33000.0
925.08,4.0,2.0,2.0,1.0,32000.0
711.6,6.0,2.0,2.0,1.0,42000.0
925.08,2.0,3.0,1.0,1.0,34500.0
925.08,4.0,2.0,2.0,1.0,32000.0
523.026,2.0,1.0,1.0,1.0,29000.0
1529.94,2.0,2.0,2.0,1.0,58000.0
836.13,8.0,2.0,1.0,1.0,35000.0
789.876,7.0,1.0,1.0,1.0,42000.0
1885.74,6.0,3.0,2.0,2.0,54999.0
2782.356,12.0,3.0,2.0,3.0,123456.0
711.6,5.0,3.0,2.0,2.0,28000.0
469.656,7.0,1.0,1.0,1.0,34000.0
793.434,11.0,2.0,1.0,1.0,40000.0
1565.52,2.0,3.0,2.0,1.0,45000.0
1366.272,4.0,4.0,2.0,2.0,50000.0
1914.204,17.0,3.0,2.0,2.0,88000.0
1889.298,2.0,4.0,2.0,2.0,100000.0
1956.9,6.0,4.0,2.0,3.0,85000.0
1992.48,4.0,3.0,2.0,2.0,99888.0
3187.968,6.0,3.0,2.0,2.0,168000.0
925.08,2.0,1.0,2.0,1.0,51000.0
1067.4,4.0,3.0,2.0,2.0,31000.0
1352.04,17.0,3.0,2.0,2.0,85000.0
2063.64,15.0,3.0,2.0,2.0,110000.0
796.992,3.0,2.0,2.0,2.0,45000.0
949.986,5.0,2.0,1.0,1.0,43000.0
2910.444,4.0,3.0,2.0,3.0,90000.0
3010.068,4.0,3.0,2.0,2.0,185000.0
768.528,6.0,1.0,1.0,1.0,45000.0
772.086,3.0,2.0,2.0,1.0,28000.0
1423.2,3.0,3.0,2.0,2.0,68000.0
1380.504,2.0,3.0,2.0,2.0,42000.0
448.308,2.0,1.0,1.0,1.0,17000.0
1971.132,2.0,4.0,2.0,2.0,53000.0
2052.966,5.0,4.0,2.0,2.0,78000.0
1127.886,11.0,3.0,2.0,2.0,150000.0
3241.338,7.0,2.0,2.0,3.0,99999.0
1892.856,9.0,3.0,2.0,2.0,119999.0
2138.358,4.0,4.0,2.0,3.0,100000.0
1423.2,2.0,4.0,1.0,2.0,45000.0
1754.094,3.0,4.0,2.0,2.0,48000.0
925.08,2.0,2.0,2.0,1.0,36000.0
1352.04,4.0,4.0,2.0,2.0,50000.0
889.5,5.0,2.0,1.0,1.0,24000.0
640.44,2.0,1.0,1.0,1.0,28000.0
1423.2,3.0,4.0,2.0,2.0,39000.0
651.114,8.0,3.0,2.0,2.0,36000.0
1391.178,1.0,1.0,3.0,3.0,50000.0
1487.244,6.0,3.0,2.0,2.0,36000.0
1700.724,13.0,2.0,2.0,2.0,55000.0
1515.708,6.0,4.0,2.0,2.0,50000.0
1206.162,7.0,2.0,2.0,1.0,57000.0
2052.966,5.0,4.0,2.0,2.0,78000.0
1298.67,7.0,2.0,2.0,1.0,59500.0
1444.548,2.0,4.0,2.0,2.0,45000.0
2067.198,4.0,4.0,2.0,2.0,100000.0
1227.51,2.0,3.0,2.0,2.0,39000.0
1494.36,4.0,3.0,2.0,2.0,36000.0
1366.272,4.0,4.0,2.0,2.0,50000.0
2298.468,14.0,4.0,2.0,2.0,135000.0
925.08,7.0,1.0,2.0,1.0,28000.0
3842.64,15.0,3.0,1.0,2.0,200000.0
1889.298,2.0,4.0,2.0,2.0,105000.0
2063.64,3.0,4.0,2.0,2.0,98000.0
1544.172,10.0,4.0,2.0,2.0,98000.0
1273.764,5.0,3.0,2.0,2.0,57000.0
1579.752,4.0,3.0,2.0,2.0,100000.0
1672.26,10.0,2.0,1.0,2.0,45000.0
1227.51,5.0,2.0,2.0,2.0,45000.0
1401.852,2.0,3.0,2.0,3.0,60000.0
569.28,9.0,2.0,2.0,1.0,32000.0
2173.938,5.0,4.0,2.0,2.0,60000.0
2213.076,2.0,4.0,2.0,2.0,108000.0
2063.64,4.0,4.0,2.0,2.0,100000.0
1707.84,9.0,3.0,2.0,2.0,80000.0
900.174,4.0,2.0,2.0,2.0,88000.0
1465.896,6.0,2.0,2.0,2.0,80000.0
1316.46,4.0,3.0,2.0,2.0,45000.0
740.064,6.0,1.0,1.0,1.0,38800.0
754.296,2.0,1.0,1.0,1.0,35000.0
1647.354,10.0,2.0,2.0,2.0,55000.0
811.224,5.0,2.0,1.0,1.0,43500.0
1487.244,8.0,4.0,2.0,2.0,38000.0
1494.36,1.0,4.0,2.0,3.0,150000.0
2914.002,5.0,3.0,2.0,2.0,110000.0
1665.144,7.0,4.0,2.0,2.0,48000.0
1732.746,8.0,4.0,2.0,2.0,72000.0
853.92,8.0,2.0,1.0,1.0,42000.0
1885.74,6.0,4.0,2.0,2.0,75000.0
889.5,11.0,2.0,2.0,2.0,49998.0
2455.02,12.0,4.0,2.0,2.0,110000.0
1067.4,6.0,4.0,2.0,2.0,50000.0
1102.98,2.0,3.0,2.0,2.0,50000.0
3024.3,9.0,3.0,2.0,2.0,158000.0
1102.98,2.0,3.0,1.0,2.0,26000.0
1725.63,4.0,3.0,2.0,2.0,45000.0
985.566,8.0,2.0,2.0,1.0,28000.0
1102.98,3.0,3.0,2.0,2.0,35000.0
1885.74,7.0,3.0,1.0,2.0,77000.0
2028.06,12.0,5.0,1.0,1.0,89000.0
540.816,5.0,2.0,1.0,1.0,28500.0
590.628,8.0,2.0,1.0,1.0,45000.0
2170.38,9.0,4.0,2.0,2.0,110000.0
1992.48,5.0,3.0,2.0,2.0,70000.0
960.66,4.0,3.0,2.0,2.0,33000.0
843.246,2.0,1.0,1.0,1.0,51500.0
1889.298,18.0,3.0,2.0,2.0,69500.0
1487.244,6.0,3.0,1.0,2.0,36000.0
587.07,5.0,1.0,1.0,1.0,36000.0
1384.062,6.0,3.0,2.0,2.0,50000.0
818.34,4.0,3.0,2.0,1.0,21000.0
711.6,1.0,2.0,2.0,3.0,42000.0
1074.516,7.0,3.0,1.0,2.0,35000.0
391.38,7.0,1.0,2.0,1.0,25000.0
1889.298,2.0,4.0,2.0,2.0,100000.0
1031.82,4.0,3.0,2.0,2.0,40000.0
1921.32,3.0,4.0,2.0,2.0,55000.0
1387.62,4.0,3.0,2.0,2.0,40000.0
1352.04,9.0,3.0,2.0,2.0,50000.0
1433.874,5.0,3.0,2.0,2.0,47000.0
462.54,13.0,1.0,1.0,1.0,20000.0
3775.038,11.0,3.0,3.0,3.0,150000.0
996.24,2.0,3.0,2.0,1.0,28000.0
441.192,3.0,1.0,2.0,1.0,40000.0
1757.652,6.0,4.0,2.0,3.0,65000.0
1974.69,6.0,4.0,2.0,2.0,70000.0
711.6,5.0,2.0,2.0,1.0,43000.0
1825.254,5.0,3.0,2.0,2.0,60000.0
1814.58,6.0,4.0,2.0,3.0,85000.0
1426.758,3.0,3.0,2.0,2.0,48120.0
469.656,9.0,1.0,1.0,1.0,35000.0
1149.234,10.0,3.0,2.0,1.0,50000.0
2309.142,16.0,4.0,2.0,4.0,138000.0
